"n",rozmiar,operacje addytywne,operacje multiplikatywne,wszystkie operacje zmiennoprzecinkowe,czas wykonania
0,4,126,102,228,0.013107
1,8,1588,726,2314,0.022753
2,16,14400,5010,19410,0.157311
3,32,114856,34542,149398,1.149132
4,64,862056,239202,1101258,8.047204
5,128,6270328,1663086,7933414,39.993987
6,256,44843400,11594370,56437770,288.084035
7,512,317722936,80967822,398690758,2047.599856
