"n",rozmiar,operacje addytywne,operacje multiplikatywne,wszystkie operacje zmiennoprzecinkowe,czas wykonania
0,4,38,45,83,0.000979
1,8,639,363,1002,0.006489
2,16,6520,2649,9169,0.065268
3,32,55543,18615,74158,0.773741
4,64,433080,129489,562569,2.241160
5,128,3220511,900183,4120694,16.276158
6,256,23328080,6268833,29596913,124.214524
7,512,166502055,43733991,210236046,885.327373
