"n",rozmiar,operacje addytywne,operacje multiplikatywne,wszystkie operacje zmiennoprzecinkowe,czas wykonania
0,4,38,48,86,0.000948
1,8,639,370,1009,0.004900
2,16,6520,2664,9184,0.036906
3,32,55543,18646,74189,0.246267
4,64,433080,129552,562632,2.134117
5,128,3220511,900310,4120821,17.181544
6,256,23328080,6269088,29597168,124.858410
7,512,166502055,43734502,210236557,878.162420
