"n",rozmiar,operacje addytywne,operacje multiplikatywne,wszystkie operacje zmiennoprzecinkowe,czas wykonania
0,4,36,36,72,0.000563
1,8,520,292,812,0.003529
2,16,5258,2142,7400,0.033478
3,32,44984,15088,60072,0.209903
4,64,352258,105030,457288,1.411418
5,128,2627112,730192,3357304,13.069540
6,256,19063698,5084406,24148104,98.567005
7,512,136209016,35466304,171675320,700.078368


